Energy_Source,Municipality,Month,Day_Type,Hour,Value
Solar_C1_Total,Agliè,Sep,Weekday,4,0
Solar_C1_Total,Agliè,Sep,Weekday,5,0
Solar_C1_Total,Agliè,Sep,Weekday,6,0.0
Solar_C1_Total,Agliè,Sep,Weekday,7,3632.819086478
Solar_C1_Total,Agliè,Sep,Weekday,8,8067.270743428
Solar_C1_Total,Agliè,Sep,Weekday,9,11773.997523818
Solar_C1_Total,Agliè,Sep,Weekday,10,15097.307512660998
Solar_C1_Total,Agliè,Sep,Weekday,11,18032.387671687
Solar_C1_Total,Agliè,Sep,Weekday,12,20683.675273215
Solar_C1_Total,Agliè,Sep,Weekday,13,20499.829490294003
Solar_C1_Total,Agliè,Sep,Weekday,14,18950.406632448998
Solar_C1_Total,Agliè,Sep,Weekday,15,15393.254115788
Solar_C1_Total,Agliè,Sep,Weekday,16,11549.902010887
Solar_C1_Total,Agliè,Sep,Weekday,17,7279.671350763
Solar_C1_Total,Agliè,Sep,Weekday,18,1619.1320467209998
Solar_C1_Total,Agliè,Sep,Weekday,19,0
Solar_C1_Total,Agliè,Sep,Weekday,20,0
Solar_C1_Total,Agliè,Sep,Weekday,21,0
Solar_C1_Total,Agliè,Sep,Weekday,22,0
Solar_C1_Total,Agliè,Sep,Weekday,23,0
Solar_C1_Total,Agliè,Sep,Weekday,24,0
Solar_C1_Total,Agliè,Sep,Weekend,1,0
Solar_C1_Total,Agliè,Sep,Weekend,2,0
Solar_C1_Total,Agliè,Sep,Weekend,3,0
Solar_C1_Total,Agliè,Sep,Weekend,4,0
Solar_C1_Total,Agliè,Sep,Weekend,5,0
Solar_C1_Total,Agliè,Sep,Weekend,6,0.0
Solar_C1_Total,Agliè,Sep,Weekend,7,3632.819086478
Solar_C1_Total,Agliè,Sep,Weekend,8,8067.270743428
Solar_C1_Total,Agliè,Sep,Weekend,9,11773.997523818
Solar_C1_Total,Agliè,Sep,Weekend,10,15097.307512660998
Solar_C1_Total,Agliè,Sep,Weekend,11,18032.387671687
Solar_C1_Total,Agliè,Sep,Weekend,12,20683.675273215
Solar_C1_Total,Agliè,Sep,Weekend,13,20499.829490294003
Solar_C1_Total,Agliè,Sep,Weekend,14,18950.406632448998
Solar_C1_Total,Agliè,Sep,Weekend,15,15393.254115788
Solar_C1_Total,Agliè,Sep,Weekend,16,11549.902010887
Solar_C1_Total,Agliè,Sep,Weekend,17,7279.671350763
Solar_C1_Total,Agliè,Sep,Weekend,18,1619.1320467209998
Solar_C1_Total,Agliè,Sep,Weekend,19,0
Solar_C1_Total,Agliè,Sep,Weekend,20,0
Solar_C1_Total,Agliè,Sep,Weekend,21,0
Solar_C1_Total,Agliè,Sep,Weekend,22,0
Solar_C1_Total,Agliè,Sep,Weekend,23,0
Solar_C1_Total,Agliè,Sep,Weekend,24,0
Solar_C1_Total,Agliè,Oct,Weekday,1,0
Solar_C1_Total,Agliè,Oct,Weekday,2,0
Solar_C1_Total,Agliè,Oct,Weekday,3,0
Solar_C1_Total,Agliè,Oct,Weekday,4,0
Solar_C1_Total,Agliè,Oct,Weekday,5,0
Solar_C1_Total,Agliè,Oct,Weekday,6,0
Solar_C1_Total,Agliè,Oct,Weekday,7,234.65456463700002
Solar_C1_Total,Agliè,Oct,Weekday,8,4813.029918685999
Solar_C1_Total,Agliè,Oct,Weekday,9,6638.563887679999
Solar_C1_Total,Agliè,Oct,Weekday,10,9806.848888549
Solar_C1_Total,Agliè,Oct,Weekday,11,11457.862303829
Solar_C1_Total,Agliè,Oct,Weekday,12,13408.797687156002
Solar_C1_Total,Agliè,Oct,Weekday,13,12946.216599848
Solar_C1_Total,Agliè,Oct,Weekday,14,11207.062471415
Solar_C1_Total,Agliè,Oct,Weekday,15,8707.178058435999
Solar_C1_Total,Agliè,Oct,Weekday,16,5840.355374464
Solar_C1_Total,Agliè,Oct,Weekday,17,846.34869443
Solar_C1_Total,Agliè,Oct,Weekday,18,0
Solar_C1_Total,Agliè,Oct,Weekday,19,0
Solar_C1_Total,Agliè,Oct,Weekday,20,0
